DPW_Node_ID,PUC_Maximo_Asset_ID,System_Use_Code,System_Use,Drain_Type,POINT_X,POINT_Y,Location
25929015,25929015,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8241038, 39.2660009)"
334995432,334995432,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8027734, 39.250341)"
334995433,334995433,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8071334, 39.2314507)"
334995434,334995434,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8044157, 39.2500091)"
334995435,334995435,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8027257, 39.2489161)"
335015075,335015075,Default,Undefined,Storm Water Inlet Drain,,,"(-6.802902, 39.250341)"
335069858,335069858,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8025203, 39.2460587)"
335069860,335069860,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8024769, 39.2460752)"
335069861,335069861,Default,Undefined,Storm Water Inlet Drain,,,"(-6.802285, 39.2461507)"
335069862,335069862,Default,Undefined,Storm Water Inlet Drain,,,"(-6.802762, 39.2459979)"
335085270,335085270,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8022908, 39.2471891)"
335188533,335188533,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8026196, 39.2481122)"
335188534,335188534,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8026882, 39.2488137)"
335189569,335189569,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8026564, 39.2494358)"
335893986,335893986,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8027078, 39.245359)"
337757355,337757355,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8026564, 39.2493468)"
337757356,337757356,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8022928, 39.2476438)"
337772020,337772020,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8033796, 39.2493884)"
337772021,337772021,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8027382, 39.2493429)"
337775294,337775294,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8027835, 39.2458945)"
